KEY,ES,EN
"HP2a2d","Desmontar Trampas","Dismantle Traps"
"                                  ","Precepcion","Zonas"
"HP3a1t","Ocultos 1","Hidden  1"
"HP3a1d","Cofres","Chests"
"HP3a2t","Ocultos 2","Hidden  2"
"HP3a2d","Puertas","Doors"
"HP3a3t","Ocultos 3","Hidden  3"
"HP3a3d","Terminales","Terminals"






"                                  ","Agilidad",""
"HA1t","Agilidad 1","Agility 1"
"HA1d","Esquiva + 5%","Dodge + 5%"
"HA2t","Agilidad 2","Agility 2"
"HA2d","Esquiva +10%","Dodge +10%"
"HA3t","Agilidad 3","Agility 3"
"HA3d","Esquiva +15%","Dodge +15%"
"HA4t","Agilidad 4","Agility 4"
"HA4d","Esquiva +20%","Dodge +20%"
"                                  ","Inteligencia",""
"HI1t","Inteligencia 1","Intelligence 1"
"HI1d","Experiencia +10%","Experience +10%"
"HI2t","Inteligencia 2","Intelligence 2"
"HI2d","Experiencia +20%","Experience +20%"
"HI3t","Inteligencia 3","Intelligence 3"
"HI3d","Experiencia +30%","Experience +30%"
"HI4t","Inteligencia 4","Intelligence 4"
"HI4d","Experiencia +40%","Experience +40%"










--ScnMnCfg--,"",""
MnCfg_LbTitGame,"Juego","Game"
MnCfg_BtLoad,"Cargar","Load"
MnCfg_BtSave,"Guardar","Save"
MnCfg_BtExit,"Salir","Exit"
MnCfg_LbTitCfg,"Configuración","Config"
MnCfg_BtTeclado,"Entrada","Inputs"
MnCfg_BtIdioma,"Idioma","Language"
MnCfg_BtGrafico,"Graficos","Graphics"
MnCfg_BtAudio,"Sonido","Audio"
MnCfg_BtRegresar,"Regresar","Return"

--ScnMnSave--,"",""
MnSave_LbTitWin,"Guardar","Save"

--ScnMnLoad--,"",""
MnLoad_LbTitWin,"Cargar","Load"

--ScnMnInputs--,"",""
MnInputs_LbTitWin,"Configuracion de teclado","Config Keys"
MnInputs_LbPressKey,"Pulse una tecla","Press Key"

--ScnMnLeng--,"",""
MnLng_LbTitWin,"Idiomas","Language"

--ScnMnGrf--,"",""
MnGrf_LbTitWin,"Graficos","Graphics"

--ScnMnAudio--,"",""
MnAudio_LbTitWin,"Sonido","Sounds"

--ScnMnSave--,"",""
MnSave_LbTitWin,"Guardar","Save"

--ScnMnLoad--,"",""
MnLoad_LbTitWin,"Cargar","Load"

--BASE--,"",""
BS_001,"",""

--ZONA--,"",""
ZN_001,"",""

--NIVEL--,"",""
LV_001,"",""

--MISION--,"",""
MS_001a,"",""

